CIEL ID,Concept UUID,Reason,Existing Spanish names,Spanish names in 2024
811,811AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
143757,143757AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
80477,80477AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
80362,80362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
80236,80236AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
802,802AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
801,801AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
79697,79697AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
796,796AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
795,795AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
1432,1432AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
79197,79197AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
791,791AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
78338,78338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
78326,78326AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
78275,78275AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
78251,78251AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
78200,78200AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
779,779AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
77789,77789AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
77329,77329AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
77241,77241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
76669,76669AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
76664,76664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
76335,76335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
763,763AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
76174,76174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
141935,141935AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
76005,76005AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
141908,141908AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
759,759AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
75858,75858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
75841,75841AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
141741,141741AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
75535,75535AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
755,755AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
75222,75222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
752,752AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
751,751AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
141597,141597AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
75015,75015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
749,749AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
141550,141550AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
748,748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
747,747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
74663,74663AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
745,745AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
743,743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
74245,74245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
74232,74232AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
141224,141224AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
73870,73870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
737,737AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
73624,73624AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
73597,73597AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
73548,73548AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
735,735AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
73337,73337AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
73300,73300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
733,733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
73138,73138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
73115,73115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
73032,73032AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
72930,72930AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
72552,72552AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
72551,72551AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
72166,72166AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
71604,71604AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
71451,71451AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
71193,71193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
71153,71153AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
140062,140062AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
71130,71130AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
71107,71107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
711,711AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
71070,71070AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
14,14AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
70991,70991AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
139794,139794AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
70716,70716AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
70295,70295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
