CIEL ID,Concept UUID,English preferred,Spanish name count,Spanish FSN count,Spanish names,Safe unique FSN candidates,Safe unique any-name candidates,All Spanish names have external_id
158181,158181AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,overlapping malignant lesion of corpus uteri,1,0,Neoplasia superpuesta maligna del cuerpo uterino,,,True
158017,158017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,non-odontogenic developmental cyst of jaw,1,0,Quiste mandibular del desarrollo no odontogénico,,,True
157946,157946AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,neoplasm of uncertain or unknown behavior of rectum,1,0,Neoplasia de comportamiento incierto del recto,,,True
157923,157923AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,neoplasm of uncertain or unknown behavior of colon,1,0,Neoplasia de comportamiento incierto del colon,,,True
157916,157916AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"neoplasm of uncertain or unknown behavior of brain, infratentorial",1,0,"Neoplasia de cerebro de comportamiento incierto o desconocido, infratentorial",,,True
157891,157891AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,natural family planning,1,0,Anticonceptivo natural,,,True
157805,157805AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,mixed dysphasia,1,0,Disfasia mixta,,,True
122186,122186AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Achromatopsia,1,1,acromatopsia,,,True
122177,122177AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Acquired blepharophimosis,1,1,blefarofimosis adquirida,,,True
122142,122142AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Acquired kyphosis,1,1,cifosis adquirida,,,True
121492,121492AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Arteriohepatic dysplasia,2,1,displasia arteriohepática | Displasia arteriohepática,,,True
121225,121225AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Benedikt's syndrome,1,1,síndrome de Benedikt,,,True
156925,156925AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Intentional acetaminophen poisoning,1,1,Intoxicación intencional por paracetamol,,,True
156924,156924AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Intentional acetaminophen overdose,1,1,Sobredosis intencional de paracetamol,,,True
156918,156918AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Instability of hip joint,1,1,Inestabilidad de cadera,,,True
156787,156787AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,infection by Yersinia enterocolitica,2,0,Infección por Yersinia enterocolitica | Infección causada por Yersinia enterocolitica,,,True
120634,120634AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Chronic idiopathic thrombocytopenic purpura,1,1,púrpura trombocitopénica idiopática crónica,,,True
120592,120592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Chronic passive congestion of liver,1,1,congestión pasiva crónica del hígado,,,True
156659,156659AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,History of rheumatic fever,1,1,Antecedente de: fiebre reumática,,,True
156606,156606AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,herpes zoster with ophthalmic complication,1,0,Herpes zóster con complicaciones oftálmicas,,,True
156597,156597AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,hereditary nephritis,1,0,Nefritis hereditaria,,,True
156524,156524AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,granuloma faciale,1,0,Granuloma facial,,,True
156441,156441AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Fundoscopy abnormal,1,0,Fundoscopia anormal,,,True
119668,119668AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,De Vaal's syndrome,1,1,síndrome de De Vaal,,,True
156159,156159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Episodic tension-type headache,1,0,Cefalea tensional episódica,,,True
156156,156156AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,epileptic vertigo,1,0,Vértigo epiléptico,,,True
156105,156105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,dyssomnia,1,0,Disomnia,,,True
155744,155744AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,contracture of toe joint,1,0,Contractura de la articulación de dedo del pie,,,True
155733,155733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,constitutional short stature,1,0,Estatura baja constitucional,,,True
155713,155713AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,congenital pericardial defect,1,0,Defecto pericárdico congénito,,,True
155593,155593AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Chronic tension-type headache,1,1,Cefalea tensional crónica,,,True
118492,118492AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Exanthema subitum,2,1,exantema súbito | Exantema súbito,,,True
155381,155381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Calcium channel blocker adverse reaction,1,0,Reacción adversa a fármaco bloqueante de los canales del calcio,,,True
154949,154949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,acute chest syndrome,1,0,Síndrome torácico agudo,,,True
117045,117045AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Infective arthritis,2,1,artritis infecciosa | Artritis infecciosa,,,True
154661,154661AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Accidental ethyl alcohol poisoning,1,1,Intoxicación accidental por alcohol etílico,,,True
116758,116758AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Insect Bite,2,0,Picadura de insecto | Picadura de insecto - herida,,,True
154486,154486AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,absence of breast,1,0,Ausencia de mama,,,True
154443,154443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,abnormal kidney function,1,0,Función renal anormal,,,True
116031,116031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Malignant neoplasm,1,0,neoplasia maligna primaria,,,True
115427,115427AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Infective myocarditis,2,1,miocarditis infecciosa | Miocarditis infecciosa,,,True
113861,113861AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pregnancy Induced Hypertension,1,0,Hipertensión gestacional,,,True
104996,104996AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Loteprednol / tobramycin,1,0,Etabonato de loteprednol + tobramicina,,,True
104816,104816AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hepatitis A vaccine (inactivated) / hepatitis B vaccines,1,1,Vacuna contra hepatitis A y B,,,True
148035,148035AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Back pain,2,1,Dolor de espalda | Síntoma de dolor de espalda no especificada,,,True
147124,147124AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Blood in urine,1,0,Hematuria,,,True
